t,private_company,public_company,sum,,,,,,,,
2022-02-09,25737,217172,242909,,,,,,,,
2022-02-10,25737,217172,242909,,,,,,,,
2022-02-11,25738,217172,242910,,,,,,,,
2022-02-12,25738,217172,242910,,,,,,,,
2022-02-13,25738,217172,242910,,,,,,,,
2022-02-14,25738,217172,242910,,,,,,,,
2022-02-15,25738,217172,242910,,,,,,,,
2022-02-16,25738,217172,242910,,,,,,,,
2022-02-17,25738,217172,242910,,,,,,,,
2022-02-18,25738,217172,242910,,,,,,,,
2022-02-19,25738,217172,242910,,,,,,,,
2022-02-20,25738,217172,242910,,,,,,,,
2022-02-21,25738,217172,242910,,,,,,,,
2022-02-22,25738,217172,242910,,,,,,,,
2022-02-23,25738,217172,242910,,,,,,,,
2022-02-24,25738,217172,242910,,,,,,,,
2022-02-25,25738,217172,242910,,,,,,,,
2022-02-26,25738,217172,242910,,,,,,,,
2022-02-27,25738,217172,242910,,,,,,,,
2022-02-28,25738,218977,244715,,,,,,,,
2022-03-01,25738,218977,244715,,,,,,,,
2022-03-02,25738,218977,244715,,,,,,,,
2022-03-03,25738,218977,244715,,,,,,,,
2022-03-04,25738,218977,244715,,,,,,,,
2022-03-05,25738,218977,244715,,,,,,,,
2022-03-06,25738,218977,244715,,,,,,,,
2022-03-07,25738,218977,244715,,,,,,,,
2022-03-08,25738,218977,244715,,,,,,,,
2022-03-09,25738,218977,244715,,,,,,,,
2022-03-10,25738,218977,244715,,,,,,,,
2022-03-11,25738,218977,244715,,,,,,,,
2022-03-12,25738,218977,244715,,,,,,,,
2022-03-13,25738,218977,244715,,,,,,,,
2022-03-14,25738,218977,244715,,,,,,,,
2022-03-15,25738,218977,244715,,,,,,,,
2022-03-16,25738,218977,244715,,,,,,,,
2022-03-17,25738,218977,244715,,,,,,,,
2022-03-18,25738,218977,244715,,,,,,,,
2022-03-19,25738,218977,244715,,,,,,,,
2022-03-20,25738,218977,244715,,,,,,,,
2022-03-21,25738,218977,244715,,,,,,,,
2022-03-22,25738,218977,244715,,,,,,,,
2022-03-23,25738,218977,244715,,,,,,,,
2022-03-24,25738,218977,244715,,,,,,,,
2022-03-25,25738,218977,244715,,,,,,,,
2022-03-26,25738,218977,244715,,,,,,,,
2022-03-27,25738,218977,244715,,,,,,,,
2022-03-28,25738,218977,244715,,,,,,,,
2022-03-29,25738,218977,244715,,,,,,,,
2022-03-30,25738,218977,244715,,,,,,,,
2022-03-31,25738,223767,249505,,,,,,,,
2022-04-01,25738,223767,249505,,,,,,,,
2022-04-02,25738,223767,249505,,,,,,,,
2022-04-03,25738,223767,249505,,,,,,,,
2022-04-04,25738,227934,253672,,,,,,,,
2022-04-05,25738,227934,253672,,,,,,,,
2022-04-06,25738,227934,253672,,,,,,,,
2022-04-07,25738,227934,253672,,,,,,,,
2022-04-08,25738,227934,253672,,,,,,,,
2022-04-09,25738,227934,253672,,,,,,,,
2022-04-10,25738,227934,253672,,,,,,,,
2022-04-11,25738,227934,253672,,,,,,,,
2022-04-12,25738,227934,253672,,,,,,,,
2022-04-13,25738,227934,253672,,,,,,,,
2022-04-14,25738,227934,253672,,,,,,,,
2022-04-15,25738,227934,253672,,,,,,,,
2022-04-16,25738,227934,253672,,,,,,,,
2022-04-17,25738,227934,253672,,,,,,,,
2022-04-18,25738,227934,253672,,,,,,,,
2022-04-19,25738,227934,253672,,,,,,,,
2022-04-20,25738,227934,253672,,,,,,,,
2022-04-21,25738,227934,253672,,,,,,,,
2022-04-22,25738,227934,253672,,,,,,,,
2022-04-23,25738,227934,253672,,,,,,,,
2022-04-24,25738,227934,253672,,,,,,,,
2022-04-25,25738,227934,253672,,,,,,,,
2022-04-26,25738,227934,253672,,,,,,,,
2022-04-27,25738,227934,253672,,,,,,,,
2022-04-28,25738,227934,253672,,,,,,,,
2022-04-29,25738,227934,253672,,,,,,,,
2022-04-30,25738,229055,254793,,,,,,,,
2022-05-01,25738,229055,254793,,,,,,,,
2022-05-02,25738,229055,254793,,,,,,,,
2022-05-03,25738,229055,254793,,,,,,,,
2022-05-04,25738,229055,254793,,,,,,,,
2022-05-05,25738,229055,254793,,,,,,,,
2022-05-06,25738,229055,254793,,,,,,,,
2022-05-07,25738,229055,254793,,,,,,,,
2022-05-08,25738,229055,254793,,,,,,,,
2022-05-09,25738,229055,254793,,,,,,,,
2022-05-10,25738,229055,254793,,,,,,,,
2022-05-11,25738,229055,254793,,,,,,,,
2022-05-12,25738,229055,254793,,,,,,,,
2022-05-13,25738,229055,254793,,,,,,,,
2022-05-14,25738,229055,254793,,,,,,,,
2022-05-15,25738,229055,254793,,,,,,,,
2022-05-16,25738,229055,254793,,,,,,,,
2022-05-17,25738,229055,254793,,,,,,,,
2022-05-18,25738,229055,254793,,,,,,,,
2022-05-19,25738,229055,254793,,,,,,,,
2022-05-20,25738,229055,254793,,,,,,,,
2022-05-21,25738,229055,254793,,,,,,,,
2022-05-22,25738,229055,254793,,,,,,,,
2022-05-23,25738,229055,254793,,,,,,,,
2022-05-24,25738,229055,254793,,,,,,,,
2022-05-25,25738,229055,254793,,,,,,,,
2022-05-26,25738,229055,254793,,,,,,,,
2022-05-27,25738,229055,254793,,,,,,,,
2022-05-28,25738,229055,254793,,,,,,,,
2022-05-29,25738,229055,254793,,,,,,,,
2022-05-30,25738,229055,254793,,,,,,,,
2022-05-31,25738,229673,255411,,,,,,,,
2022-06-01,25738,229673,255411,,,,,,,,
2022-06-02,25738,229673,255411,,,,,,,,
2022-06-03,25738,229673,255411,,,,,,,,
2022-06-04,25738,229673,255411,,,,,,,,
2022-06-05,25738,229673,255411,,,,,,,,
2022-06-06,25738,229673,255411,,,,,,,,
2022-06-07,25738,229673,255411,,,,,,,,
2022-06-08,25738,229673,255411,,,,,,,,
2022-06-09,25738,229673,255411,,,,,,,,
2022-06-10,25738,229673,255411,,,,,,,,
2022-06-11,25738,229673,255411,,,,,,,,
2022-06-12,25738,229673,255411,,,,,,,,
2022-06-13,25738,229673,255411,,,,,,,,
2022-06-14,25738,229673,255411,,,,,,,,
2022-06-15,25738,229673,255411,,,,,,,,
2022-06-16,25738,229673,255411,,,,,,,,
2022-06-17,25738,229673,255411,,,,,,,,
2022-06-18,25738,229673,255411,,,,,,,,
2022-06-19,25738,229673,255411,,,,,,,,
2022-06-20,25738,229673,255411,,,,,,,,
2022-06-21,25738,229673,255411,,,,,,,,
2022-06-22,25738,229673,255411,,,,,,,,
2022-06-23,25738,229673,255411,,,,,,,,
2022-06-24,25738,229673,255411,,,,,,,,
2022-06-25,25738,229673,255411,,,,,,,,
2022-06-26,25738,229673,255411,,,,,,,,
2022-06-27,25738,229673,255411,,,,,,,,
2022-06-28,25738,229673,255411,,,,,,,,
2022-06-29,25738,230154,255892,,,,,,,,
2022-06-30,25738,194194,219932,,,,,,,,
2022-07-01,25738,194194,219932,,,,,,,,
2022-07-02,25738,194194,219932,,,,,,,,
2022-07-03,25738,194194,219932,,,,,,,,
2022-07-04,25738,194194,219932,,,,,,,,
2022-07-05,25738,194194,219932,,,,,,,,
2022-07-06,25738,194194,219932,,,,,,,,
2022-07-07,25738,194194,219932,,,,,,,,
2022-07-08,25738,194194,219932,,,,,,,,
2022-07-09,25738,194194,219932,,,,,,,,
2022-07-10,25738,194194,219932,,,,,,,,
2022-07-11,25738,194194,219932,,,,,,,,
2022-07-12,25738,194194,219932,,,,,,,,
2022-07-13,25738,194194,219932,,,,,,,,
2022-07-14,25738,194194,219932,,,,,,,,
2022-07-15,25738,194194,219932,,,,,,,,
2022-07-16,25738,194194,219932,,,,,,,,
2022-07-17,25738,194194,219932,,,,,,,,
2022-07-18,25738,194194,219932,,,,,,,,
2022-07-19,25738,194194,219932,,,,,,,,
2022-07-20,25738,194194,219932,,,,,,,,
2022-07-21,25738,194194,219932,,,,,,,,
2022-07-22,25738,194194,219932,,,,,,,,
2022-07-23,25738,194194,219932,,,,,,,,
2022-07-24,25738,194194,219932,,,,,,,,
2022-07-25,25738,194194,219932,,,,,,,,
2022-07-26,25738,194194,219932,,,,,,,,
2022-07-27,25738,194194,219932,,,,,,,,
2022-07-28,25738,194194,219932,,,,,,,,
2022-07-29,25738,194194,219932,,,,,,,,
2022-07-30,25738,194194,219932,,,,,,,,
