t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2022-02-19,17572182.28,421133194.9,0.0001,152217722.5,18067168.17,423001655,0.0001,151922838.6
2022-02-20,17591507.03,420653441.6,0.0001,152997059.8,17959126.86,422633987,0.0001,152054765.8
2022-02-21,17564920.99,420132669.5,0.0001,154039032.3,17844796.25,421969231.4,0.0001,152406641.7
2022-02-22,17594943.77,421709221.4,0.0001,147299069.8,17701074.24,421762267.9,0.0001,151700581.1
2022-02-23,19539004.36,422025417.2,0.0001,150903409.5,17917741.92,421744933.6,0.0001,151566496.4
2022-02-24,19469400.5,420922645.1,0.0001,151211065.1,18126788.27,421311260.5,0.0001,151446943.9
2022-02-25,19456828.96,419771628.7,0.0001,150130547.5,18398398.27,420906888.3,0.0001,151256843.8
2022-02-26,19181912.31,421652568,0.0001,148973257.2,18628359.7,420981084.5,0.0001,150793348.7
2022-02-27,19215305.95,421204353.1,0.0001,149785435.6,18860330.98,421059786.1,0.0001,150334545.3
2022-02-28,19008904.32,421314109.2,0.0001,149469883.9,19066614.31,421228563.2,0.0001,149681809.8
2022-03-01,19128350.65,421467426.1,0.0001,149785269,19285672.44,421194021.1,0.0001,150036981.1
2022-03-02,19152727.84,421148681.4,0.0001,150180058,19230490.08,421068773.1,0.0001,149933645.2
2022-03-03,19468498.05,420655569.3,0.0001,150638997.4,19230361.15,421030619.4,0.0001,149851921.2
2022-03-04,27265807.42,421431729.3,0.0001,156136073.4,20345929.51,421267776.6,0.0001,150709853.5
2022-03-05,25425257.9,421756829.4,0.0001,151984974.7,21237836.02,421282671.1,0.0001,151140098.9
2022-03-06,25416197.79,421135851,0.0001,153222881.4,22123677.71,421272885.1,0.0001,151631162.5
2022-03-07,25405816.78,419593195.1,0.0001,152749149.4,23037522.35,421027040.2,0.0001,152099629
2022-03-08,26079104.56,418639420.6,0.0001,153227546.8,24030487.19,420623039.4,0.0001,152591383
2022-03-09,26110089.32,418354791.4,0.0001,153508505.2,25024395.97,420223912.3,0.0001,153066875.5
2022-03-10,26376620.58,422683597,0.0001,154857843.1,26011270.62,420513630.5,0.0001,153669567.7
2022-03-11,26295396.39,419382370.5,0.0001,155273786.9,25872640.47,420220865,0.0001,153546383.9
2022-03-12,28401219.11,415987127.8,0.0001,162553940.7,26297777.79,419396621.9,0.0001,155056236.2
2022-03-13,28368881.26,419629002.3,0.0001,162859684.2,26719589.71,419181357.8,0.0001,156432922.3
2022-03-14,28338897.2,419795148.2,0.0001,162925111.8,27138601.2,419210208.3,0.0001,157886631.2
2022-03-15,28330355.57,418339108.4,0.0001,174589687.1,27460208.49,419167306.5,0.0001,160938365.6
2022-03-16,28349160.14,414018164.5,0.0001,174317658.6,27780075.75,418547788.4,0.0001,163911101.8
2022-03-17,28599369.71,415487791.4,0.0001,177980481.1,28097611.34,417519816.2,0.0001,167214335.8
2022-03-18,28170995.95,413613729.6,0.0001,187577113.7,28365554.13,416695724.6,0.0001,171829096.7
2022-03-19,27845507.89,412996207.7,0.0001,182574404.6,28286166.82,416268450.3,0.0001,174689163
2022-03-20,27804566.77,415746527.3,0.0001,182254489.9,28205550.46,415713811,0.0001,177459849.5
2022-03-21,27833527.67,415626558.1,0.0001,172219778.3,28133354.81,415118298.1,0.0001,178787659
2022-03-22,28066216.17,415739881.7,0.0001,172122244,28095620.61,414746980,0.0001,178435167.2
2022-03-23,27969748.15,415728627.5,0.0001,172428987.4,28041418.9,414991331.9,0.0001,178165357
2022-03-24,27815720.39,412763682.5,0.0001,171915605.4,27929469,414602173.5,0.0001,177298946.2
2022-03-25,27956831.05,417392479.3,0.0001,175414219.2,27898874.01,415141994.9,0.0001,175561389.8
2022-03-26,27659119.03,419103298.5,0.0001,175105297.6,27872247.03,416014436.4,0.0001,174494374.5
2022-03-27,27641764.6,418211259.3,0.0001,175273334.1,27848989.58,416366541,0.0001,173497066.6
2022-03-28,27623538.49,417630532.1,0.0001,175173688.4,27818991.13,416652823,0.0001,173919053.7
2022-03-29,27664335.27,418264006.2,0.0001,175160738.7,27761579.57,417013412.2,0.0001,174353124.4
2022-03-30,27351780.22,417175000.8,0.0001,176358190.1,27673298.44,417220037,0.0001,174914439.1
