t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2022-06-05,35018716.31,428061452.6,0.0001,179251923.5,,,,,,,
2022-06-06,37025919.07,424163928.5,0.0001,181315918.1,,,,,,,
2022-06-07,37036494.01,427637450.5,0.0001,181601896.5,,,,,,,
2022-06-08,37056710.5,427024031.6,0.0001,181534186.6,,,,,,,
2022-06-09,37012320.56,428509519.9,0.0001,181489308.2,,,,,,,
2022-06-10,38071873.11,426978806.1,0.0001,187713388.5,,,,,,,
2022-06-11,38017540.77,440171567,0.0001,187260180.8,,,,,,,
2022-06-12,38081624.16,435401261.9,0.0001,187172589.5,,,,,,,
2022-06-13,38283087.16,432392487.3,0.0001,187912581.8,,,,,,,
2022-06-14,38010263.2,432185016.1,0.0001,187195878.6,,,,,,,
2022-06-15,37257463.8,428049191.6,0.0001,186426039,,,,,,,
2022-06-16,37443604.17,427464906.4,0.0001,186437344.3,,,,,,,
2022-06-17,37515774.34,434222042.6,0.0001,186439828.4,,,,,,,
2022-06-18,37675776.25,432772225.4,0.0001,186088484.1,,,,,,,
2022-06-19,37613986.85,443970330.7,0.0001,186238038.2,,,,,,,
2022-06-20,37240458.54,442543476.2,0.0001,186083983.9,,,,,,,
2022-06-21,38219630.54,441935653.7,0.0001,186083306.3,,,,,,,
2022-06-22,38090590.18,434422146.1,0.0001,186320880.6,,,,,,,
2022-06-23,37729047.28,432918058.1,0.0001,205674268.8,,,,,,,
2022-06-24,37898341.69,440290701.5,0.0001,206296315.7,,,,,,,
2022-06-25,37976472.61,449543727.3,0.0001,205698995.2,,,,,,,
2022-06-26,39090029.67,449842439.3,0.0001,206411802.4,,,,,,,
2022-06-27,39137745.29,447535132.2,0.0001,205827502,,,,,,,
2022-06-28,38685530.09,450437610.1,0.0001,205582330,,,,,,,
2022-06-29,39565650.97,449033992,0.0001,208252003.1,,,,,,,
2022-06-30,39716496.12,452373116.6,0.0001,210295539.9,,,,,,,
2022-07-01,38829218.27,456759494.9,0.0001,209347185.5,,,,,,,
2022-07-02,38973554.11,458579568.5,0.0001,209683845.2,,,,,,,
2022-07-03,38582465.69,462371054.1,0.0001,209066245.8,,,,,,,
2022-07-04,38611431.63,464233674.5,0.0001,209070207.7,,,,,,,
2022-07-05,38558594.28,466849497.2,0.0001,209057499.4,,,,,,,
2022-07-06,40094425.66,464266652.6,0.0001,209435962.3,,,,,,,
2022-07-07,39751697.22,466912288,0.0001,207415886,,,,,,,
2022-07-08,39676108.69,466044948,0.0001,207307145.9,,,,,,,
2022-07-09,39936025.41,465866728.5,0.0001,209008920.6,,,,,,,
2022-07-10,39902998.66,466766501.2,0.0001,209077511.4,,,,,,,
2022-07-11,39975345.81,471418682.8,0.0001,209274683,,,,,,,
2022-07-12,39961159.44,469880873.2,0.0001,208893825.9,,,,,,,
2022-07-13,39854526.3,466796734.1,0.0001,208703948.9,,,,,,,
